IMDB Code	Date	Title	Seen	Source	Recommender	Rating	Simple Rating
tt14039582	3/25/2022	Drive My Car	n	HBO Max	NA	Great	10
tt10366460	3/26/2022	CODA	n	Apple TV	NA	Great	10
tt9620288	3/27/2022	King Richard	n	HBO Max	NA	Good +	8.5
tt9100054	3/27/2022	The Lost Daughter	n	Netflix	NA	Good	8
tt0172493	3/28/2022	"Girl, Interrupted"	n	Netflix	NA	Great	10
tt2788716	3/29/2022	Welcome to Me	n	Amazon Prime	NA	Good +	8.5
tt4034354	3/30/2022	Swiss Army Man	n	Showtime	NA	Great	10
tt0067185	3/31/2022	Harold and Maude	n	Showtime	NA	Good	8
tt0075148	3/1/2022	Rocky	n	HBO Max	NA	Good +	8.5
NA	4/2/2022	The Secret Life of the Cruise	n	Amazon Prime	NA	Decent	5
tt0190590	4/3/2022	"O Brother, Where Art Thou"	n	Amazon Prime	NA	Decent	5
tt0116282	4/4/2022	Fargo	n	Amazon Prime	NA	Good	8
tt0407887	4/5/2022	The Departed	n	HBO Max	NA	Good +	8.5
tt0449059	4/6/2022	Little Miss Sunshine	n	Stream	NA	Good +	8.5
tt5186714	4/7/2022	The Salesman	n	Amazon Prime	NA	Good +	8.5
tt1856101	4/8/2022	Blade Runner 2049	n	Netflix	NA	Good +	8.5
tt10003978	4/9/2022	Fiddler: A Miracle of Miracles	n	Amazon Prime	NA	Great	10
tt0034583	4/10/2022	Casablanca	n	HBO Max	NA	Good +	8.5
tt0051808	4/11/2022	The Hidden Fortress	n	HBO Max	NA	Great	10
tt0404030	4/13/2022	Everything is Illuminated	n	Stream	NA	Good	8
tt5108870	4/15/2022	Morbius	n	Regal	NA	Decent	5
