"official_title","your_title","watch_date","type","year","decade","half_decade","age","runtime","genre1","genre2","genre3","seen","source","rating","imdb_rating","recommender"
"What Did Jack Do?(2017)","What Did Jack Do","2021-07-19","short","2017","2010","2015","5","17","Comedy","Crime","Drama","n","Netflix","8.0","6.4","NA"
"Frankenstein's Monster's Monster, Frankenstein(2019)","""Frankenstein's Monster's Monster, Frankenstein""","2021-07-20","tvShort","2019","2010","2015","3","32","Comedy","Short","","n","Netflix","8.0","5.8","NA"
"Alice in Wonderland(1951)","Alice in Wonderland","2021-07-21","movie","1951","1950","1950","71","75","Adventure","Animation","Comedy","n","Netflix","5.0","7.4","NA"
"Anima(2019)","Anima","2021-07-22","short","2019","2010","2015","3","15","Music","Short","","n","Netflix","6.0","7.6","NA"
"If Anything Happens I Love You(2020)","""If Anything Happens, I Love You""","2021-07-23","short","2020","2020","2020","2","13","Animation","Drama","Short","n","Netflix","10.0","7.8","NA"
"Blue Jay(2016)","Blue Jay","2021-07-24","movie","2016","2010","2015","6","80","Drama","Romance","","n","Netflix","2.0","7.2","NA"
"Cops and Robbers(2020)","Cops and Robbers","2021-07-25","short","2020","2020","2020","2","6","Animation","Drama","Short","n","Netflix","5.0","6.7","NA"
"Return to the 36th Chamber(1980)","Return to the 36th Chamber","2021-07-26","movie","1980","1980","1980","42","99","Action","Comedy","","n","Netflix","5.0","6.9","NA"
"The Young Vagabond(1985)","The Young Vagabond","2021-07-27","movie","1985","1980","1985","37","85","Action","Comedy","","n","Netflix","5.0","5.4","NA"
"Martial Arts of Shaolin(1986)","Martial Arts of Shaolin","2021-07-28","movie","1986","1980","1985","36","94","Action","Comedy","Drama","n","Netflix","5.0","6.4","NA"
"Lightning Fists of Shaolin(1984)","Opium and the Kung Fu Master","2021-07-29","movie","1984","1980","1980","38","85","Action","Drama","","n","Netflix","5.0","6.4","NA"
